序号,区县,街乡,名称,地址,联系电话,联系人,特色产品,简介
11,门头沟区,龙泉镇龙泉务村,龙泉香杏园,北京市门头沟区龙泉镇龙泉务村,61899869,,杏、柴鸡、垂钓,园区坐西朝东，依山而建。这里是明清皇家贡品香白杏的原产地，现有香白杏200亩，共8000余株，此外还有全世界所独有的纯白杏和杏中珍品“骆驼黄”，另外还引种了美国红荷包、金太阳等优良杏树品种。园区内还有桃15亩、核桃20亩、葡萄10亩、樱桃10亩，以及众多的散生枣树，采摘期长达半年。山上散养2000只柴鸡，供游客拔草拾蛋。山顶有两个垂钓池，水面达3000平方米。山下有特菜生产基地。香杏园是观光采摘、休闲度假的好去处，2002年评为门头沟区十大观光农业园区之一。
12,门头沟区,斋堂镇东斋堂村,九龙头千亩果园,北京市门头沟区斋堂镇东斋堂村,69816791,,果树,景区原名九龙头千亩果园，以生产富士苹果为主。这里背风向阳，坡缓土厚，果园面积1000亩，树龄已足10年，正值盛果期。园区设有采摘区、观赏区、科技区、娱乐区、摄影区和绘画区，为游人提供多种服务；接待室、资料室、实验室设施齐全，是一处很好的林果业教学实验和培训基地。此外还开展了栽纪念树，采摘、吃果比赛等多项旅游活动。邻近的门头沟影视培训基地有标准客房，可接待200多人食宿。
13,门头沟区,军庄镇东山村,东山梨花园,北京市门头沟区军庄镇东山村,60812631,李国涛,京白梨,东山梨花园(北京慧明果林业实验农场)创建于1997年，为集体所有制企业，位于本市门头沟区军庄镇东山村。本农场三面环山一侧临水的独特地理环境与特异的土壤条件十分适宜水果的生长，其中尤以京白梨为最。1999年，精心培育的东山京白梨一举夺得昆明世博会水果类银奖。为了保护地道东山京白梨的声誉，2001年向国家工商局商标局申请注册了“军山”牌商标。现在，东山京白梨已发展到1200亩，40000多株，产量已达到12万斤。该园的“军山”牌京白梨已通过ISO9001国际质量体系认证和ISO14001国际环保体系认证。东山梨花园是集旅游、采摘、休闲和农业、林果业、养殖业为一体的“农家乐”田园式景区，这里有梨园、杏园、桃园等世界名特优果品40余种，有葡萄长廊、垂钓、茶园，为远离闹市，寻求新鲜空气，期盼回归自然，营造出了一个真实的绿色天地，并伴以“春来梨花盛开，夏天硕果累累，秋季漫山红叶，冬季雪浴沐寒”的景色使这里成为了一片美丽神奇的土地。
14,门头沟区,,灵鹿仙桃园,北京市门头沟区斋堂镇西胡林村西,69816704,李志鹤,油桃、葡萄、海棠、沙果,灵鹿仙桃园是在门头区西胡林果园和京西梅花鹿养殖场的基础之上建立的。园区是一个集观光、采摘、休闲、渡假于一体的观光园区。灵鹿仙桃园经营总面积17.2公顷，其中果园面积8公顷，内有优质的油桃8亩，葡萄20亩，海棠、沙果20亩，观光园生产上以施用农家肥为主，其产品符合安全、卫生、健康的要求。园区内还备有良种梅花鹿供游人参观。鹿场产品主要是鹿鞭、鹿心及其各种以鹿为原料的酒类产品可供游人采购。灵鹿仙桃园地理位置优越，气候条件在门头沟具有广泛的代表性。园区交通便利，距109国道仅1.5公里，通往园区的主干道为6米宽的柏油路，园区内设有观光、采摘、人行步道及围栏，专门设有停车场。基础设施有空房20间，可一次性接待40人同时住宿，完整的餐饮设施可同时供100人用餐，具备接待中、小型会议的能力。园区内还有完善的旅游安全防护措施，园区周边环境优美，在旅游观光季节，周围青山环绕，青松翠柏，秋季红叶满山，气候宜人，是休闲、观光、采摘、度假的好场所。
15,门头沟区,,琨樱谷山庄,北京市门头沟区王平镇瓜草地村,89573881,韩平,樱桃、桑葚、蔬菜,"琨樱谷山庄坐落于门头沟城西南的山中，这里山高谷深、林幽草密，有千年的古树和飞溅的深龙潭。山庄占地10000平方米，建筑面积4000平方米。琨樱谷山庄是集餐饮、娱乐、会议、采摘、观光于一体的新型生态渡假村。山庄内设有客房33间，可接待80人住宿，有标准间(158元/间)22个，三人间(188元/间)8个，套间(大套间488元，小套间288元)3个；餐厅设有4个包间和一个大餐厅，可同时容纳150人同时就餐；大会议室可容纳150人，小会议室可容纳30人；娱乐厅设有一个大歌厅和一个小KTV,音响效果极佳。"
16,门头沟区,妙峰山镇,北京龙凤岭种植园,北京市门头沟区妙峰山镇担礼村龙凤岭,61881701,孙显山,梨、樱桃、李子、枣、杏、海棠,"北京龙凤岭种植园位于妙峰山镇，北边距妙峰山景区15公里。园区根据资源优势，建立“一山一河带两沟”的旅游总体框架，以永定河为切入点发展生态旅游、观光旅游、休闲旅游、家庭旅游和民俗文化相结合的特色旅游网络。种植园现有面积21.3公顷，园区特色果品划分为：京白梨园11.3公顷，樱桃园2.7公顷，李子园2.3公顷，枣园2公顷，杏园1.7公顷，海棠园1.3公顷。预计所有果树进入盛果期，每年可产各种果品15万公斤，产值300万元。水泥路贯穿果园，建有0.12公顷停车场，园内设有多种健身娱乐设施,可容纳60多人的会议室。"
17,门头沟区,,九龙头农场,北京市门头沟区斋堂镇东斋堂村,69816791,,苹果、葡萄、鲜桃、枣树,"九龙头农场是门头沟十大观光园之一,始建于1991年,总面积1000亩。主要栽植,红富士苹果,还有葡萄,鲜桃,枣树等配套采摘树种,年平均产量60万斤,2002年该基地通过安全认证,注册商标为“九龙”牌,并列为北京市标准化示范基地"
18,门头沟区,斋堂镇马栏村,北京马栏台淑秀种植园,北京市门头沟区斋堂镇马栏村,52731222,,葡萄、提子,"北京马栏台淑秀种植园,位于京西门头沟斋堂镇马栏村,于109国道相连,这里四面群山环绕,花香遍野,绿树成荫,流水潺潺,种植园内最美的是一排排枝繁叶茂果实累累的葡萄园,不仅有红提、黄提、青提、黑提多个品种更有那从美国引进的10万株优质克隆生葡萄，欢迎各界朋友前来种植园参观，采摘、休闲、旅游。"
19,门头沟区,妙峰山镇上苇甸村,百枣园,北京市门头沟区妙峰山镇上苇甸村,61884633,,枣、苹果、板栗、红果、酸梨、京白梨、香椿、葡萄、红杏、核桃、南瓜、四季玫瑰等,景区位于妙峰山西麓，山青水秀，林丰草厚，植物覆盖率达90%。山泉汇成的张玉河从妙峰山向下流淌，4座小塘坝层层截水，蓄水近万立方米。度假村沿塘坝而建，一座座小木屋错落有致。池塘中放养鱼苗和成鱼，游人可闲坐树下，举杆垂钓或静听鸟叫虫鸣，尽享山野情趣。村北建有千亩枣树基地，名为“百枣园”，有国内外多个优良枣树品种。园区内还种植了富士苹果、板栗、红果、酸梨、京白梨、香椿、葡萄、红杏、核桃、南瓜、四季玫瑰等，因品种不同，花期和结果期也不同。村中有许多养蜂户，因这里山青水秀，花种繁多，有着丰富的蜜源，所产蜂蜜品质极佳，特别是荆花蜜、枣花蜜和槐花蜜，色纯味正，细腻纯净而颇受欢迎。
20,门头沟区,,慕川富士园,北京市门头沟区雁翅镇太子墓村,61830040,彭德印,苹果,慕川富士园占地800亩，年产鲜果60万公斤，慕川富士园的富士苹果久负盛名，个大色艳、口脆香甜、曾被选定为中共“十四大”、“十五大”、“十六大”特用苹果，2000年获北京市安全食品认证，2001年获北京市第三届博览会精品奖，2002年被北京市农业部命名为农业标准化生产示范基地。
21,门头沟区,斋堂镇西胡林村,弘鑫源农家乐旅游观光园,北京市门头沟区斋堂镇西胡林村,13366858591,,油桃、大枣、海棠、红杏、桃、柴鸡,"弘鑫源农家乐旅游观光园位于109国道79公里处斋堂镇西胡林村。园区内有观光园区100亩,供游人观光采摘游玩,园区内有油桃,大枣,海棠,红杏,大桃等水果,及散养柴鸡,并有农家乐客房供游人食宿,居住,一次接待住宿300人,同时可供110人同时就餐."
22,门头沟区,王平镇,韭园观光农业园,北京市门头沟区王平镇,61859464,王永亮,白梨、核桃、杏,韭园观光农业园(王平村趣园及翠泉村趣园)由韭园、东落坡、西落坡、桥耳涧四个古老的小山村组成。这里位于九龙山北麓，牛角岭西侧，总面积3.18平方公里(318公顷)。东南距区政府驻地7公里，东距北京阜成门35公里，北距109国道1000米，有村级公路相连。京门铁路从村北经过，并设有车站。韭园观光农业园主要休闲及旅游项目包括观光采摘、京西古道、三义庙等。园区三面环山，历史遗存丰富，尤其京西古道贯穿园区，是著名的文化遗产。韭园观光农业园以樱桃示范园为主体，建有2个百亩京白梨园、100亩核桃园、30亩杏园，采摘期从4月份开始，一直延续到秋季，可达半年。
23,房山区,大石窝镇三岔村,菱枣观光园,北京市房山区大石窝镇三岔村西,61323522,王明伍,枣,观光园受惠于大自然造化和历史传承，山川秀美，人文荟萃，旅游资源云居古刹、世所罕见。“福临菱枣”果实呈菱形，果个均匀，成熟后果实呈深红色，外形美观，果肉甜脆，汁多味浓，属稀有品种，曾是给皇帝进贡的优质枣，是极其宝贵的鲜食品种资源。
24,通州区,,北京葡香南苑,北京市通州区,69587298,王金,葡萄、桃、杏,葡香南苑是由镇葡萄协会领办兴建的高科技农业示范园区，建设标准高，园内环境优美，设施齐全，是进行观光、旅游、休闲、采摘的理想场地。园内建有大型高标准温室8栋、葡萄长廊450米、三星级卫生间、休息小区等设施。现有葡萄示范园200亩及梨、温室桃、杏等。
25,通州区,,北京葡香东苑,北京市通州区宋庄镇翟里村,13661386738,李伟,葡萄,葡萄生产园120亩。主要品种有：红提、醉金香、美人指、粉红亚都蜜、京亚、8611、泽香、黄意大利、黑提等。
26,通州区,宋庄镇翟里村,翟里旅游观光采摘园,北京市通州区宋庄镇翟里村,89573881,杨占亮,梨、大桃、李子、葡萄、蔬菜,翟里旅游观光采摘园位于通州区宋庄镇翟里村，是北京市标准化果品、蔬菜生产基地。采摘园邻近亚洲最大的赛马场，经常举办各种赛事活动，毗邻“伯爵园”高尔夫球场。该园果树面积206公顷，主要果品包括精品梨140公顷，大桃53.3公顷，李子8公顷，葡萄4.5公顷。
27,通州区,张家湾镇,张家湾优质杂果大观园,"北京市通州区张家湾镇瓜厂村 
",69573747,李红印,葡萄、樱桃、苹果、桃、李子、瓜,张家湾优质杂果大观园优质水果品种丰富，各种瓜类、草莓品种逐步引进，通过杂果基地建设把周边5个村的果园有机整合，建成集种植、销售、观光、采摘休闲为一体的千亩杂果基地，建立技术服务体系，实现资源、技术、资金、市场的有效组合和有序管理。千亩杂果基地的中心位于张家湾镇瓜厂村，占地面积66.7公顷。
28,通州区,上马头村,上马头村果园,"北京市通州区上马头村 
",13901126196,刘成,葡萄,上马头村葡萄种植面积1300亩，村内建有葡萄长廊。1997年被市农委、农办命名为“京郊葡萄第一村”。1999年、2000年经市验收达到葡萄专业村标准。
29,通州区,,北京明太阳农场,北京市通州区西集镇沙古堆村,84639350,孙亭,水果、动物,北京明太阳农场2006年通过了欧盟有机果品认证。年产各种水果1500吨，所有水果均为领先品种，具有排他性。生态环境良好，在园内可见到野生刺猬、野鸡、野兔和10余种鸟类。家养的动物有骆驼、布尔山羊、猪、狗、猫，均颇具规模，有利于对小孩开展直观教育。
30,通州区,,福鹰葡萄种植园,北京市通州区宋庄镇富豪村,69593172,,葡萄、玉米,福鹰葡萄种植园位于富豪村，面积100亩，种植的藤稔葡萄，个大、皮薄、口感好。葡萄园中建有凉亭、观景台等景点设施。您可以亲自采摘葡萄、掰玉米，品尝农家的鲜食美味。
31,通州区,漷县镇,益鑫果树种植园,北京市通州区漷县镇,80586676,,葡萄、油桃,漷县镇益鑫果树种植园始建于1989年，现有21栋日光温室和150亩露天果林，种植以早熟葡萄和油桃为主。生产的“长通”牌果品，已取得绿色安全食品证书。果树园推出采摘项目，闲暇之余您可以来到这里，赏郊区景、吃农家饭、采天然果，体味纯粹的田园生活。您可以到邻村的“一品园”鲜花基地，剪切品种多样的鲜花，到“怡乐”观赏鱼养殖中心挑选各种名贵的宫廷小金鱼，或是去王楼奶牛场了解一下绿色养殖的方法。被誉为“通州三宝”之一的腐乳制品的专业厂家──仙源酿造厂也坐落在此。
32,通州区,宋庄镇白庙村,白庙大桃种植专业村,北京市通州区宋庄镇白庙村,69593172,,桃,大桃种植专业村宋庄镇白庙村，1300亩大桃，10多个品种。每年春季桃花盛开，景色怡人。夏秋季节，各个品种的桃子成熟，可供采摘。每年九月举办采摘节，可接待5000多名游客前来采摘、观光。
33,通州区,张家湾,张家湾葡萄生产示范园,北京市通州区张家湾镇,69572720,,葡萄,张家湾果菜技术开发中心葡萄生产示范园位于张家湾镇京津公路旁，占地面积200亩，兴建于1996年4月，是以葡萄设施栽培、果菜技术种植为特色的科研生产基地。每年5-10月份葡萄进入成熟季节，园内风景如画，果香飘溢，是观光农业进行采摘的理想场所。自1999年起每年7—10月在张家湾镇镇举办葡萄采摘节活动，此项活动由北京市旅游局和通州区人民政府主办，已连续举成功办了五届，深受区内外广大游人的青睐
34,通州区,于家务回族乡渠头村,紫徽果品蔬菜采摘示范园,北京市通州区于家务回族乡渠头村北,,,大樱桃、杏、苹果、李子、梨,紫徽果品蔬菜采摘示范园建于2004年10月，位于于家务回族乡渠头村北，园区建设占地260亩，其中果树和蔬菜种植面积210亩。紫徽果品蔬菜采摘观光示范园是集果蔬采摘、农业观光、休闲度假、餐饮娱乐为一体的农业精品采摘观光示范园。观光示范园建设种植苹果、葡萄、樱桃、大枣、桃等各类精品果树，面积210亩，作为采摘园的主体投资工程；同时根据旅游人员的要求建设集垂钓、住宿、娱乐、农家饭为一体的观光、旅游、休闲、娱乐场所，为市民提供一个假日家庭度假休养的好场所。
35,通州区,,明太阳农场采摘园,"北京市通州区西集镇沙古堆村
",61558548,马颖超,李、柿子、西梅、樱桃、梨,明太阳农场采摘园位于通州区西集镇沙古堆村北，京杭大运河畔，西临京津公路，采摘园占地面积1200余亩。园内有优质果品供应采摘；还建有宽敞明亮的休闲场所，采摘区除种植高品质水果外，还为游客提供谈天、观赏风景的场所。
36,通州区,,东方绿谷采摘园,北京市通州区,61570775,沈建春,各类水果,东方绿谷采摘园位于通州区东南约32公里，在京沈高速路西集出口往北4公里。园区南依潮白河大堤宽阔的绿化带，东邻百亩杨树林，北傍潮白河净水，西靠乡间田园。园内环境高雅优美，名特优新果满园。东方绿谷采摘园是及旅游、观光、采摘、垂钓、休闲、健身为一体的休闲场所。园区自2001年春建园，总面积270亩，其中园内总建筑面积800平米，建有乒乓球室，台球室，大小会议室，餐厅和较高档的住宿房间。院外有纵横五条柏油路和二条供观光旅游，采摘的鹅卵石小径。园区还建有一个占地1000平米的垂钓鱼池，日接待能力100余人。
37,通州区,,瓜场村果园,北京市通州区,69573747,李廷柱,葡萄,全村现有葡萄种植面积500亩。
38,通州区,,上店村果园,北京市通州区张家湾镇上店村,69571300,张立明,葡萄,全村拥有葡萄种植面积1500亩，建有大批葡萄温室。主要品种，巨峰、京亚、红提。
39,通州区,,红宝石果园,北京市通州区,69574988,张昆,葡萄,葡萄生产园40亩，温室8栋。主要品种有巨峰、黄意大利、87-1、红提等。
40,顺义区,后沙峪镇董各庄村,富农葡萄观光采摘园,北京市顺义区后沙峪镇董各庄村,80493736,,葡萄,富农葡萄观光采摘园，占地1000亩，2002年8月8日在此举办了第一届葡萄采摘节。2003年投资建设了集观光、采摘休闲一体的综合功能的园艺区。园区内种植果品、蔬菜已经获得北京市食用农产品安全认证。采摘期间，为顾客提供修剪工具，有专门的技术人员指导您修剪葡萄。园内还有200平方米的农家院，可以担供可口的农家饭。
41,顺义区,牛栏山镇龙王头村,牛栏山黄冠梨采摘园,北京市顺义区牛栏山镇龙王头村南,69414104,,梨,牛栏山黄冠梨采摘园占地5000亩，全部种植皇冠雪花梨，年产量1000万公斤，平均单果重300克，最大单果重800克。每年的8月份，园内硕果累累、缀满枝头，是收获的好时节。您来到园区采摘观光，可尽享田园之东。
42,顺义区,,金世纪观光园,北京市顺义区北小营镇鲁各庄村,60487470,高春阳,梨,金世纪观光园占地面积1000亩，园区内种植梨品种黄金、丰水、新高、新兴等。大部分品种从日本、韩国引进，其特点是：果皮光滑、肉质细腻、爽口多汁。观光园优质的“黄金”梨给广大市民留下了良好的口碑。观光园还经营南方热带地区高档水果和反季节蔬菜。园区建有两处钳草停车场，有一处已建成并投入使用；同时设有接待室，会议室供游人及团体使用；园区接待人员可解答游人提出的各类问题，让游人来的高兴，走的满意。园区还与华安、华顺酒店合作，可同时为几百游人提供可口满意的农家饭。
43,顺义区,,梨山新世纪梨观光采摘园,北京市顺义区潮白河橡胶坝南侧,69486012,张汉东,梨,梨山新世纪梨观光采摘园位于首都机场东10公里，地处潮白河西岸，占地500亩，辐射带动10000亩，有秋月、喜水等十几种外观奇特迷人的更新换代优良品种，是李桥镇与台商合资的大型农业企业，以生产新世纪梨为主。在港、台、日本、东南亚等国家和地区，新世纪梨被视为果中上品而具有广阔的市场。新世纪梨还具有高产的特性，亩产可达3000公斤左右。园区内有路标、产品介绍指示牌，采摘时节有专人导游。
44,顺义区,杨镇张家务,张家务精品梨种植基地,北京市顺义区杨镇地区张家务村,61453160,刘占省,桃、梨,杨镇张家务精品梨种植基地位于顺义城区15公里处，紧邻顺平路，交通十分便利。该果园总面积100亩，其中精品梨85亩，品种主要包括：黄金梨、大果水晶梨、砀山酥梨等
45,顺义区,北石槽镇,京城御杏山庄,"北京市顺义区北石槽镇
",60423852,施登祥,水果,北石槽镇“御果园”位于顺义西北部，京密引水渠畔，高下路西侧，与昌平、怀柔毗邻，这里依山傍水、鸟语花香、空气清新、生态环境良好。园区占地1000亩。
46,顺义区,,北京顺安奥兴果品有限公司安全生产基地精品果采摘园,北京市顺义区,69441925,高志兴,桃、梨,北京顺安奥兴果品有限公司安全生产基地精品果采摘园，位于顺义区城北500米处。占地面积：600亩其中本采摘园南与顺义区城接壤、北有乡村高尔夫球场和乡村跑马场，东邻潮白河风景如画、心旷神怡，在您采摘完毕后可以到球场打打球、到跑马场观看赛马、到白河边树阴下进野餐品风味。
47,顺义区,高丽营镇张喜庄村,顺意佳农业种植园,北京市顺义区高丽营镇张喜庄村北,69497582,冯秋菊,桃、毛桃、李子、杏,顺意佳农业种植园位于顺义区高丽营镇张喜庄村北，总占地面积480亩，由种植园、养殖中心、农庄宾馆三部分组成。2003年取得“北京市食用农产品安全论证”证书。现种植的2500余株果树均已进入盛果期。种植园有钢架结构日光温室9个，种植油桃、毛桃、李子、杏等十余个品种；露天果品主要有早美、红凤、丹黑等油桃、毛桃40余个品种，是北京地区种植油桃品种最多，面积较大的果区。
48,顺义区,高丽营镇二村,普蓝特农业开发有限公司,北京市顺义区高丽营镇二村,69456988,冯久国,梨、枣、桃,普蓝特农业开发有限公司位于顺义区高丽营镇二村，占地500亩，种植各种果树十几种，如：美人指、峰后、红提、乒乓球等各种葡萄，新世纪梨、黄金梨、冬枣、川中岛桃、晚蜜桃等。欢迎各界朋友观光采摘。
49,顺义区,,百菇观光采摘园,"北京市顺义区北石槽镇西赵各庄南御杏园内
",,,各类蘑菇,百菇园坐落在顺义区西北部的燕山脚下，京密引水河畔，御杏园内，四周果树相抱，环境幽雅，空气清新，交通便利。园区占地5万平方米，是京郊首家会员式采菇休憩园。有平安菇、佛菇、百灵菇、兰花菇、灵芝等160多个蘑菇品种。
50,顺义区,,特高特樱桃园,北京市顺义区北小营镇特高特樱桃园,13910713799,,樱桃、桃子、杏、葡萄、李子,"特高特樱桃园里种植的除了樱桃，还有桃子，杏、葡萄、李子。樱桃园里的景色也很漂亮，在院子中间还有一个鱼塘，爱钓鱼的朋友可以在此钓鱼，如果您有烤炉的话也可以带上，在这里您可以亲自烤制鸡翅,度过一个悠闲的假期。"
51,顺义区,,京城水脉绿色生态山庄,北京市顺义区,60423852,施登洋,鲜杏、西洋梨、甜瓜、西瓜,山庄位于顺义区西北的燕山脚下，依山傍水，气候宜人，山庄占地2600亩，庄内千亩杏园具有悠久的历史，在清朝乾隆年间被封为御杏园。
52,顺义区,,赵全营梨枣观光采摘园,北京市顺义区赵全营镇,60431105,王学忠,梨、枣,
53,顺义区,,大孙各庄桃园,北京市顺义区,69414104,王东,桃、李、杏,
54,顺义区,,南岗路观光采摘园,北京市顺义区天竺镇,80462320,陈广庆,梨、樱桃、葡萄、桃、杏、李子,
55,昌平区,南口镇,北京市南口农场,北京市昌平区南口镇南,60755064,,台湾青枣、杨桃、芭乐、木瓜、柚子、枇杷等南方水果，及草莓、苹果、油桃、蟠桃、李子、杏、樱桃、梨等,北京市南口农场隶属北京首都农业集团有限公司，位于昌平区南口镇南部，是农业部首批认定的国家级绿色食品生产示范基地，是京郊土地规模最大的国有农场，
56,昌平区,马池口镇乃干屯村,北京昌平香味葡萄园,北京市昌平区马池口镇乃干屯村,60792388,李岩,种植作物以葡萄为主，具有草莓香型、玫瑰香型以及香蕉香型三种香味。葡萄颜色有红色、白色(黄白色)、紫黑色、粉红色等多种颜色。,2008年初开始，北京市昌平区香味葡萄园开工建设。全园占地面积100亩，其中实际葡萄种植面积为83亩，同时进行了基础设施的建设。品种以玫瑰香系、巨峰系以及玫瑰香与巨丰杂交品种为主栽品种。
57,昌平区,长陵镇辛庄村,京北沃龙坡果树种植园,北京市昌平区长陵镇黑山寨地区辛庄村西1000米,89728770,王宗革,日本新高梨、中华盘桃,京北沃龙坡果树种植园位于长陵镇黑山寨地区辛庄村西1000米处，距德胜门50公里，与华北第一松“盘龙松”相邻，全园总面积300亩，
58,昌平区,南邵镇营坊村,新特温室采摘园,北京市昌平区南邵镇营坊村,60733288,,"栽培“新,奇,特”水果蔬菜达200余种","新特温室采摘园位于昌平区城东1800米处,前有京密运河,后依军都山脉及十三陵水库,相邻蟒山森林公园和天池公园及数十家度假村,这里风景秀丽,空气新鲜,是休闲度假,观光采摘的好去处.采摘园建于1998年,占地面积200余亩,日光温室35栋,以北京农学院为技术依托,实现了“特菜常年有,水果四季摘”的目标,"
59,昌平区,南口镇,太平世纪果园,北京市昌平区南口镇,69778762,王永才,苹果、桃、梨、葡萄、李子、杏、樱桃、柿子、核桃,太平世纪果园位于军都山前，距八达岭高速公路陈庄出口2.5公里，独特的山前暖带、群山环抱、气候极佳，适合果类生长。果园现有面积1050亩的标准化果园，拥有苹果、桃、梨、葡萄、李子、杏、樱桃、柿子、核桃等九大类近百个品种。
60,昌平区,南口镇,陈庄果园,"北京市昌平区南口镇陈庄村 

",69785134,谷明,苹果、桃、李、樱桃、葡萄、枣、梨,陈庄果园有苹果、桃、李、樱桃、葡萄、枣、梨等，果园面积200多亩，年产鲜果20余万公斤。
61,昌平区,十三陵镇胡庄,北阳果品采摘园,北京市昌平区十三陵旅游风景区,89761484,王凤林,大盖柿、山黄杏、樱桃、苹果、梨、葡萄,北阳果品采摘园位于十三陵旅游风景区内，距北京市区35公里，108、110国道纵贯南北，交通方便。北阳公司注重科技，十几年来在发展地区传统果品大盖柿、山黄杏的同时，积极引进樱桃、苹果、梨、葡萄等果树优新品种，全镇果树面积15200亩，桃、苹果、樱桃等果树40余个品种，果实成熟期从5月下旬至11月，产量达1000万公斤以上。
62,昌平区,,燕南苹果种植园,北京市昌平区南邵镇何营村,60731728,于士元,苹果、桃、梨、杏、樱桃、柿子,燕南苹果种植园，占地1300亩，是昌平林业局1986年规划设计的标准化果园，主栽品种有红富士、黄香焦、红星、新高梨，葡萄、樱桃，等优质品种，果品历年销售良好，历次参加果品展评中均获得好评和奖励。
