名称,地址,电话
西庄村,北京市怀柔区怀北镇西庄村,69663949
大水峪村,北京市怀柔区怀北镇大水峪村,69662014
椴树岭村,北京市怀柔区怀北镇椴树岭村,61622979、67426253
河防口村,北京市怀柔区怀北镇河防口村,89696417
后山铺村,北京市怀柔区琉璃庙镇后山铺村,61610452
八宝堂村,北京市怀柔区琉璃庙镇八宝堂村,13716920898
西湾子村,北京市怀柔区琉璃庙镇西湾子村,13716078115
青石岭村,北京市怀柔区琉璃庙镇青石岭村,61618483、13241676131
庄户村,北京市怀柔区渤海镇庄户村,89602679
苇店民俗村,北京市怀柔区渤海镇苇店民俗村,61621045
六渡河村,北京市怀柔区渤海镇六渡河村,13911520562
慕田峪村,北京市怀柔区渤海镇慕田峪村,13901384572
三岔村,北京市怀柔区渤海镇三岔村,61631327、13641166790
西水峪村,北京市怀柔区九渡河镇西水峪村,61651455
孙栅子村,北京市怀柔区喇叭沟门乡孙栅子村,60627764
苗营村,北京市怀柔区喇叭沟门乡苗营村,60623543、13911419616
官地村,北京市怀柔区雁栖镇官地村,89617089
神堂峪村,北京市怀柔区雁栖镇神堂峪村,89617925
莲花池村,北京市怀柔区雁栖镇莲花池村,61629014
七道梁正白旗村,北京市怀柔区长哨营满族乡七道梁正白旗村,60626200
杏树台村,北京市怀柔区九渡河镇杏树台村,89603527
贾峪村,北京市密云县石城镇贾峪村,69015028
张家坟村,北京市密云县石城镇张家坟村,61025688
梨树沟村,北京市密云县石城镇梨树沟村,61025530
捧河岩村,北京市密云县石城镇捧河岩村,69017593
水堡子村,北京市密云县石城镇水堡子村,13716346027
花园村,北京市密云县新城子镇花园村,81022454
河东村,北京市密云县古北口镇河东村,81051133
河西村,北京市密云县古北口镇河西村,81052005
司马台村,北京市密云县古北口镇司马台村,69032664
苇子峪村,北京市密云县北庄镇苇子峪村,81001976
达峪村,北京市密云县巨各庄镇达峪村,61034634
双圣峪村,北京市密云县太师屯镇双圣峪村,69038342
龙潭沟村,北京市密云县太师屯镇龙潭沟村,69038525
走马庄口门子村,北京市密云县溪翁庄镇走马庄口门子村,69017366
石马峪民俗村,北京市密云县溪翁庄镇石马峪民俗村,61021082
牛盆峪村,北京市密云县西田各庄镇牛盆峪村,61000814
大龙门村,北京市密云县大城子镇大龙门村,61072830
河西村（秀水湾民俗度假村）,北京市延庆县千家店镇秀水湾村,60185458
长寿岭村,北京市延庆县千家店镇排字岭村,60188369
古家窑村,北京市延庆县千家店镇古家窑村,60188022
里炮村（红苹果度假村）,北京市延庆县八达岭镇里炮村,61163751
岔道村,北京市延庆县八达岭镇岔道村,69121460
东沟村,北京市延庆县八达岭镇东沟村,81181475
石佛寺村,北京市延庆县八达岭镇石佛寺村,81181475、81181699
东小河屯村（乡下有我一分田）,北京市延庆县延庆镇东小河屯村,81179055
卓家营村（郊野生态园）,北京市延庆县延庆镇卓家营村,61120931
水泉沟村（莲花缘度假村）,北京市延庆县大庄科乡水泉沟村,60189996
香屯村,北京市延庆县大庄科乡香屯村,60189824
珍珠泉村（清凉山谷）,北京市延庆县珍珠泉乡珍珠泉村,60186621
水泉子村,北京市延庆县珍珠泉乡水泉子村,60186694
上磨村,北京市延庆县永宁镇上磨村,60170587
盆窑村,北京市延庆县旧县镇盆窑村,61151002
古城村,北京市延庆县旧县镇古城村,13241331139
柳沟村,北京市延庆县井庄镇柳沟村,61191626
南湾村,北京市延庆县四海镇南湾村,60182363
西大庄科村,北京市延庆县张山营镇西大庄科村,69112002、69112212
玉皇庙村,北京市延庆县张山营镇玉皇庙村,69190209
东桑园村,北京市延庆县大榆树镇东桑园村,81191674
上花园村,北京市延庆县沈家营镇上花园村,13601265364
西王化营村,北京市延庆县沈家营镇西王化营村,61133772
管家岭村,北京市海淀区苏家坨镇管家岭村,62469353、13520099120
黄岭西村,北京市门头沟区斋堂镇黄岭西村,13716215997
火村,北京市门头沟区斋堂镇火村,13699112531
马栏村,北京市门头沟区斋堂镇马栏村,13601251060
水峪嘴村,北京市门头沟区妙峰山镇水峪嘴村,61880104
黄安坨村,北京市门头沟区清水镇黄安坨村,61826059
西达么村,北京市门头沟区清水镇西达么村,61829194、13718815642
张家铺村,北京市门头沟区清水镇张家铺村,61826244、13581894966
八渡村,北京市房山区十渡镇八渡村,13520511417
大峪沟村,北京市房山区张坊镇大峪沟村,61339968、13910988876
黄土坡村,北京市房山区河北镇黄土坡村,13810763301
霞云岭村,北京市房山区霞云岭乡霞云岭村村委会,60367381、13811572660
芦子水村,北京市房山区蒲洼乡芦子水村,13501051889
柳林水村,北京市房山区史家营乡柳林水村委会办公室,60319640
南关村,北京市房山区青龙湖镇南关村,-
田家营村,北京市顺义区杨镇田家营村,-
大岭沟村,北京市昌平区长陵镇大岭沟村,13716281692
花塔村,北京市昌平区南口镇花塔村,69778449
居庸关村,北京市昌平区南口镇居庸关村,69777574
沁水营村,北京市大兴区长子营镇沁水营村,13051535552
求贤村,北京市大兴区 榆垡镇 求贤村,13381069658
张家场村,北京市大兴区魏善庄镇张家场村,89231572
东辛屯村,北京市大兴区青云店镇东辛屯村,13811616597
郭家屯村,北京市平谷区金海湖镇郭家屯南街60号,13501218389
大东沟村,北京市平谷区黄松峪乡大东沟村委会,13691098400
井峪村,北京市平谷区王辛庄镇井峪村,13366313863
张家台村,北京市平谷区镇罗营镇张家台村,13911882132
超梁子村,北京市怀柔区宝山镇超梁子村,60629350
北沟村,北京市怀柔区渤海镇北沟村,13691086500
田仙峪村,北京市怀柔区渤海镇田仙峪村,13716108542
石湖峪村,北京市怀柔区九渡河镇石湖峪村民委员会,13911863164
中榆树店村,北京市怀柔区喇叭沟门满族乡中榆树店村,13683252570
石片村,北京市怀柔区雁栖镇石片村,89617092
石城村,北京市密云县石城镇石城村,61025730
石塘路村,北京市密云县石城镇石塘路村,61025326
黄土梁村,北京市密云县石城镇黄土梁村,13716343520
遥桥峪村,北京市密云县新城子镇遥桥峪村,81022484
曹家路村,北京市密云县新城子镇曹家路村,81021833
南沟村,北京市密云县北庄镇南沟村,81001780
黑山寺村,北京市密云县溪翁庄镇黑山寺村,13716882566
史庄子村,北京市密云县不老屯镇史庄子村,13521549123
下湾村,北京市延庆县千家店镇下湾村,13810763301
石峡村,北京市延庆县八达岭镇石峡村,13501051889
下德龙湾村,北京市延庆县八达岭镇下德龙湾村,13520511417
汉家川河南村,北京市延庆大庄科乡汉家川河南村,15910499600
小川村,北京市延庆县珍珠泉乡小川村委会,13811588105
韩郝庄,北京市延庆县张山营镇韩郝庄村,13520052951
