序号,土地用途分区代码,土地用途分区名称
65848,206,规划河流水系
65849,206,规划河流水系
65850,206,规划河流水系
65851,206,规划河流水系
65852,206,规划河流水系
65853,206,规划河流水系
65854,206,规划河流水系
65855,206,规划河流水系
65856,206,规划河流水系
65857,206,规划河流水系
65858,206,规划河流水系
65859,206,规划河流水系
65860,206,规划河流水系
65861,206,规划河流水系
65862,206,规划河流水系
65863,206,规划河流水系
65864,206,规划河流水系
65865,206,规划河流水系
65866,206,规划河流水系
65867,206,规划河流水系
65868,206,规划河流水系
65869,206,规划河流水系
65870,206,规划河流水系
65871,206,规划河流水系
65872,206,规划河流水系
65873,206,规划河流水系
65874,206,规划河流水系
65875,206,规划河流水系
65876,206,规划河流水系
65877,206,规划河流水系
65878,206,规划河流水系
65879,206,规划河流水系
65880,206,规划河流水系
65881,206,规划河流水系
65882,206,规划河流水系
65883,206,规划河流水系
65884,206,规划河流水系
65885,206,规划河流水系
65886,206,规划河流水系
65887,206,规划河流水系
65888,206,规划河流水系
65889,206,规划河流水系
65890,206,规划河流水系
65891,206,规划河流水系
65892,206,规划河流水系
65893,206,规划河流水系
65894,206,规划河流水系
65895,206,规划河流水系
65896,206,规划河流水系
65897,206,规划河流水系
65898,206,规划河流水系
65899,206,规划河流水系
65900,206,规划河流水系
65901,206,规划河流水系
65902,206,规划河流水系
65903,206,规划河流水系
65904,206,规划河流水系
65905,206,规划河流水系
65906,206,规划河流水系
65907,206,规划河流水系
65908,206,规划河流水系
65909,206,规划河流水系
65910,206,规划河流水系
65911,206,规划河流水系
65912,206,规划河流水系
65913,206,规划河流水系
65914,206,规划河流水系
65915,206,规划河流水系
65916,206,规划河流水系
65917,206,规划河流水系
65918,206,规划河流水系
65919,206,规划河流水系
65920,206,规划河流水系
65921,206,规划河流水系
65922,206,规划河流水系
65923,206,规划河流水系
65924,206,规划河流水系
65925,206,规划河流水系
65926,206,规划河流水系
65927,206,规划河流水系
65928,206,规划河流水系
65929,206,规划河流水系
65930,206,规划河流水系
65931,206,规划河流水系
65932,206,规划河流水系
65933,206,规划河流水系
65934,206,规划河流水系
65935,206,规划河流水系
65936,206,规划河流水系
65937,206,规划河流水系
65938,206,规划河流水系
65939,206,规划河流水系
65940,206,规划河流水系
65941,206,规划河流水系
65942,206,规划河流水系
65943,206,规划河流水系
65944,206,规划河流水系
65945,206,规划河流水系
65946,206,规划河流水系
65947,206,规划河流水系
65948,206,规划河流水系
65949,206,规划河流水系
65950,206,规划河流水系
65951,206,规划河流水系
65952,206,规划河流水系
65953,206,规划河流水系
65954,206,规划河流水系
65955,206,规划河流水系
65956,206,规划河流水系
65957,206,规划河流水系
65958,206,规划河流水系
65959,206,规划河流水系
65960,206,规划河流水系
65961,206,规划河流水系
65962,206,规划河流水系
65963,206,规划河流水系
65964,206,规划河流水系
65965,206,规划河流水系
65966,206,规划河流水系
65967,206,规划河流水系
65968,206,规划河流水系
65969,206,规划河流水系
65970,206,规划河流水系
65971,209,其他建设用地
65972,209,其他建设用地
65973,209,其他建设用地
65974,209,其他建设用地
65975,209,其他建设用地
65976,209,其他建设用地
65977,209,其他建设用地
65978,209,其他建设用地
65979,209,其他建设用地
65980,209,其他建设用地
65981,209,其他建设用地
65982,209,其他建设用地
65983,209,其他建设用地
65984,209,其他建设用地
65985,209,其他建设用地
65986,209,其他建设用地
65987,209,其他建设用地
65988,209,其他建设用地
65989,209,其他建设用地
65990,209,其他建设用地
65991,209,其他建设用地
65992,209,其他建设用地
65993,209,其他建设用地
65994,209,其他建设用地
65995,209,其他建设用地
65996,209,其他建设用地
65997,209,其他建设用地
65998,209,其他建设用地
65999,209,其他建设用地
66000,209,其他建设用地
66001,209,其他建设用地
66002,209,其他建设用地
66003,209,其他建设用地
66004,209,其他建设用地
66005,209,其他建设用地
66006,209,其他建设用地
66007,209,其他建设用地
66008,209,其他建设用地
66009,209,其他建设用地
66010,209,其他建设用地
66011,209,其他建设用地
66012,209,其他建设用地
66013,209,其他建设用地
66014,209,其他建设用地
66015,209,其他建设用地
66016,209,其他建设用地
66017,209,其他建设用地
66018,209,其他建设用地
66019,209,其他建设用地
66020,209,其他建设用地
66021,209,其他建设用地
66022,209,其他建设用地
66023,209,其他建设用地
66024,209,其他建设用地
66025,209,其他建设用地
66026,209,其他建设用地
66027,209,其他建设用地
66028,209,其他建设用地
66029,209,其他建设用地
66030,209,其他建设用地
66031,209,其他建设用地
66032,209,其他建设用地
66033,209,其他建设用地
66034,209,其他建设用地
66035,209,其他建设用地
66036,209,其他建设用地
66037,209,其他建设用地
66038,209,其他建设用地
66039,209,其他建设用地
66040,209,其他建设用地
66041,209,其他建设用地
66042,209,其他建设用地
66043,209,其他建设用地
66044,209,其他建设用地
66045,209,其他建设用地
66046,209,其他建设用地
66047,209,其他建设用地
66048,209,其他建设用地
66049,209,其他建设用地
66050,209,其他建设用地
66051,209,其他建设用地
66052,209,其他建设用地
66053,209,其他建设用地
66054,209,其他建设用地
66055,209,其他建设用地
66056,209,其他建设用地
66057,209,其他建设用地
66058,209,其他建设用地
66059,209,其他建设用地
66060,209,其他建设用地
66061,209,其他建设用地
66062,209,其他建设用地
66063,209,其他建设用地
66064,209,其他建设用地
66065,209,其他建设用地
66066,209,其他建设用地
66067,209,其他建设用地
66068,209,其他建设用地
66069,209,其他建设用地
66070,209,其他建设用地
66071,209,其他建设用地
66072,209,其他建设用地
66073,209,其他建设用地
66074,209,其他建设用地
66075,209,其他建设用地
66076,209,其他建设用地
66077,209,其他建设用地
66078,209,其他建设用地
66079,209,其他建设用地
66080,209,其他建设用地
66081,209,其他建设用地
66082,209,其他建设用地
66083,209,其他建设用地
66084,209,其他建设用地
66085,209,其他建设用地
66086,209,其他建设用地
66087,209,其他建设用地
66088,209,其他建设用地
66089,209,其他建设用地
66090,209,其他建设用地
66091,209,其他建设用地
66092,209,其他建设用地
66093,209,其他建设用地
66094,209,其他建设用地
66095,209,其他建设用地
66096,209,其他建设用地
66097,209,其他建设用地
66098,209,其他建设用地
66099,209,其他建设用地
66100,209,其他建设用地
66101,209,其他建设用地
66102,209,其他建设用地
66103,209,其他建设用地
66104,209,其他建设用地
66105,209,其他建设用地
66106,209,其他建设用地
66107,209,其他建设用地
66108,209,其他建设用地
66109,209,其他建设用地
66110,209,其他建设用地
66111,209,其他建设用地
66112,209,其他建设用地
66113,209,其他建设用地
66114,209,其他建设用地
66115,209,其他建设用地
66116,209,其他建设用地
66117,209,其他建设用地
66118,209,其他建设用地
66119,209,其他建设用地
66120,209,其他建设用地
66121,209,其他建设用地
66122,209,其他建设用地
66123,209,其他建设用地
66124,209,其他建设用地
66125,209,其他建设用地
66126,209,其他建设用地
66127,209,其他建设用地
66128,209,其他建设用地
66129,209,其他建设用地
66130,209,其他建设用地
66131,209,其他建设用地
66132,209,其他建设用地
66133,209,其他建设用地
66134,209,其他建设用地
66135,209,其他建设用地
66136,209,其他建设用地
66137,209,其他建设用地
66138,209,其他建设用地
66139,209,其他建设用地
66140,209,其他建设用地
66141,209,其他建设用地
66142,209,其他建设用地
66143,209,其他建设用地
66144,209,其他建设用地
66145,209,其他建设用地
66146,209,其他建设用地
66147,209,其他建设用地
66148,209,其他建设用地
66149,209,其他建设用地
66150,209,其他建设用地
66151,209,其他建设用地
66152,209,其他建设用地
66153,209,其他建设用地
66154,209,其他建设用地
66155,209,其他建设用地
66156,209,其他建设用地
66157,209,其他建设用地
66158,209,其他建设用地
66159,209,其他建设用地
66160,209,其他建设用地
66161,209,其他建设用地
66162,209,其他建设用地
66163,209,其他建设用地
66164,209,其他建设用地
66165,209,其他建设用地
66166,209,其他建设用地
66167,209,其他建设用地
66168,209,其他建设用地
66169,209,其他建设用地
66170,209,其他建设用地
66171,209,其他建设用地
66172,209,其他建设用地
66173,209,其他建设用地
66174,209,其他建设用地
66175,209,其他建设用地
66176,209,其他建设用地
66177,209,其他建设用地
66178,209,其他建设用地
66179,209,其他建设用地
66180,209,其他建设用地
66181,209,其他建设用地
66182,209,其他建设用地
66183,209,其他建设用地
66184,209,其他建设用地
66185,209,其他建设用地
66186,209,其他建设用地
66187,209,其他建设用地
66188,209,其他建设用地
66189,209,其他建设用地
66190,209,其他建设用地
66191,209,其他建设用地
66192,209,其他建设用地
66193,209,其他建设用地
66194,209,其他建设用地
66195,209,其他建设用地
66196,209,其他建设用地
66197,209,其他建设用地
66198,209,其他建设用地
66199,209,其他建设用地
66200,209,其他建设用地
66201,209,其他建设用地
66202,209,其他建设用地
66203,209,其他建设用地
66204,209,其他建设用地
66205,209,其他建设用地
66206,209,其他建设用地
66207,209,其他建设用地
66208,209,其他建设用地
66209,209,其他建设用地
66210,209,其他建设用地
66211,209,其他建设用地
66212,209,其他建设用地
66213,209,其他建设用地
66214,209,其他建设用地
66215,209,其他建设用地
66216,209,其他建设用地
66217,209,其他建设用地
66218,209,其他建设用地
66219,209,其他建设用地
66220,209,其他建设用地
66221,209,其他建设用地
66222,209,其他建设用地
66223,209,其他建设用地
66224,209,其他建设用地
66225,209,其他建设用地
66226,209,其他建设用地
66227,209,其他建设用地
66228,209,其他建设用地
66229,209,其他建设用地
66230,209,其他建设用地
66231,209,其他建设用地
66232,209,其他建设用地
66233,209,其他建设用地
66234,209,其他建设用地
66235,209,其他建设用地
66236,209,其他建设用地
66237,209,其他建设用地
66238,209,其他建设用地
66239,209,其他建设用地
66240,209,其他建设用地
66241,209,其他建设用地
66242,209,其他建设用地
66243,209,其他建设用地
66244,209,其他建设用地
66245,209,其他建设用地
66246,209,其他建设用地
66247,209,其他建设用地
66248,209,其他建设用地
66249,209,其他建设用地
66250,209,其他建设用地
66251,209,其他建设用地
66252,209,其他建设用地
66253,209,其他建设用地
66254,209,其他建设用地
66255,209,其他建设用地
66256,209,其他建设用地
66257,209,其他建设用地
66258,209,其他建设用地
66259,209,其他建设用地
66260,209,其他建设用地
66261,209,其他建设用地
66262,209,其他建设用地
66263,209,其他建设用地
66264,209,其他建设用地
66265,209,其他建设用地
66266,209,其他建设用地
66267,209,其他建设用地
66268,209,其他建设用地
66269,209,其他建设用地
66270,209,其他建设用地
66271,209,其他建设用地
66272,209,其他建设用地
66273,209,其他建设用地
66274,209,其他建设用地
66275,209,其他建设用地
66276,209,其他建设用地
66277,209,其他建设用地
66278,209,其他建设用地
66279,209,其他建设用地
66280,209,其他建设用地
66281,209,其他建设用地
66282,209,其他建设用地
66283,209,其他建设用地
66284,209,其他建设用地
66285,209,其他建设用地
66286,209,其他建设用地
66287,209,其他建设用地
66288,209,其他建设用地
66289,209,其他建设用地
66290,209,其他建设用地
66291,209,其他建设用地
66292,209,其他建设用地
66293,209,其他建设用地
66294,209,其他建设用地
66295,209,其他建设用地
66296,209,其他建设用地
66297,209,其他建设用地
66298,209,其他建设用地
66299,209,其他建设用地
66300,209,其他建设用地
66301,209,其他建设用地
66302,209,其他建设用地
66303,209,其他建设用地
66304,209,其他建设用地
66305,209,其他建设用地
66306,209,其他建设用地
66307,209,其他建设用地
66308,209,其他建设用地
66309,209,其他建设用地
66310,209,其他建设用地
66311,209,其他建设用地
66312,209,其他建设用地
66313,209,其他建设用地
66314,209,其他建设用地
66315,209,其他建设用地
66316,209,其他建设用地
66317,209,其他建设用地
66318,209,其他建设用地
66319,209,其他建设用地
66320,209,其他建设用地
66321,209,其他建设用地
66322,209,其他建设用地
66323,209,其他建设用地
66324,209,其他建设用地
66325,209,其他建设用地
66326,209,其他建设用地
66327,209,其他建设用地
66328,209,其他建设用地
66329,209,其他建设用地
66330,209,其他建设用地
66331,209,其他建设用地
66332,209,其他建设用地
66333,209,其他建设用地
66334,209,其他建设用地
66335,209,其他建设用地
66336,209,其他建设用地
66337,209,其他建设用地
66338,209,其他建设用地
66339,209,其他建设用地
66340,209,其他建设用地
66341,209,其他建设用地
66342,209,其他建设用地
66343,209,其他建设用地
66344,209,其他建设用地
66345,209,其他建设用地
66346,209,其他建设用地
66347,209,其他建设用地
66348,209,其他建设用地
66349,20,一般农地区
66350,20,一般农地区
66351,20,一般农地区
66352,20,一般农地区
66353,205,现状河流水系
66354,205,现状河流水系
66355,202,规划公路
66356,202,规划公路
66357,202,规划公路
66358,10,基本农田保护区
66359,10,基本农田保护区
66360,10,基本农田保护区
66361,10,基本农田保护区
66362,10,基本农田保护区
66363,10,基本农田保护区
66364,10,基本农田保护区
66365,10,基本农田保护区
66366,10,基本农田保护区
66367,10,基本农田保护区
66368,10,基本农田保护区
66369,10,基本农田保护区
66370,10,基本农田保护区
66371,10,基本农田保护区
66372,10,基本农田保护区
66373,10,基本农田保护区
66374,10,基本农田保护区
66375,10,基本农田保护区
66376,10,基本农田保护区
66377,20,一般农地区
66378,20,一般农地区
66379,20,一般农地区
66380,20,一般农地区
66381,20,一般农地区
66382,20,一般农地区
66383,20,一般农地区
66384,20,一般农地区
66385,20,一般农地区
66386,20,一般农地区
66387,20,一般农地区
66388,20,一般农地区
66389,20,一般农地区
66390,20,一般农地区
66391,20,一般农地区
66392,20,一般农地区
66393,20,一般农地区
66394,20,一般农地区
66395,20,一般农地区
66396,20,一般农地区
66397,20,一般农地区
66398,20,一般农地区
66399,20,一般农地区
66400,20,一般农地区
66401,20,一般农地区
66402,20,一般农地区
66403,20,一般农地区
66404,20,一般农地区
66405,20,一般农地区
66406,20,一般农地区
66407,20,一般农地区
66408,20,一般农地区
66409,20,一般农地区
66410,20,一般农地区
66411,20,一般农地区
66412,20,一般农地区
66413,20,一般农地区
66414,20,一般农地区
66415,20,一般农地区
66416,20,一般农地区
66417,20,一般农地区
66418,20,一般农地区
66419,20,一般农地区
66420,20,一般农地区
66421,20,一般农地区
66422,20,一般农地区
66423,20,一般农地区
66424,20,一般农地区
66425,20,一般农地区
66426,20,一般农地区
66427,20,一般农地区
66428,20,一般农地区
66429,20,一般农地区
66430,20,一般农地区
66431,20,一般农地区
66432,20,一般农地区
66433,20,一般农地区
66434,20,一般农地区
66435,20,一般农地区
66436,20,一般农地区
66437,20,一般农地区
66438,20,一般农地区
66439,20,一般农地区
66440,20,一般农地区
66441,20,一般农地区
66442,20,一般农地区
66443,20,一般农地区
66444,20,一般农地区
66445,20,一般农地区
66446,20,一般农地区
66447,20,一般农地区
66448,20,一般农地区
66449,20,一般农地区
66450,20,一般农地区
66451,20,一般农地区
66452,20,一般农地区
66453,20,一般农地区
66454,20,一般农地区
66455,20,一般农地区
66456,20,一般农地区
66457,20,一般农地区
66458,20,一般农地区
66459,20,一般农地区
66460,20,一般农地区
66461,20,一般农地区
66462,20,一般农地区
66463,20,一般农地区
66464,20,一般农地区
66465,20,一般农地区
66466,20,一般农地区
66467,20,一般农地区
66468,20,一般农地区
66469,20,一般农地区
66470,20,一般农地区
66471,20,一般农地区
66472,20,一般农地区
66473,20,一般农地区
66474,20,一般农地区
66475,20,一般农地区
66476,20,一般农地区
66477,20,一般农地区
66478,20,一般农地区
66479,20,一般农地区
66480,20,一般农地区
66481,20,一般农地区
66482,20,一般农地区
66483,20,一般农地区
66484,20,一般农地区
66485,20,一般农地区
66486,20,一般农地区
66487,20,一般农地区
66488,20,一般农地区
66489,20,一般农地区
66490,20,一般农地区
66491,20,一般农地区
66492,20,一般农地区
66493,20,一般农地区
66494,20,一般农地区
66495,20,一般农地区
66496,20,一般农地区
66497,20,一般农地区
66498,20,一般农地区
66499,31,城镇建设用地区
66500,31,城镇建设用地区
66501,31,城镇建设用地区
66502,31,城镇建设用地区
66503,31,城镇建设用地区
66504,31,城镇建设用地区
66505,31,城镇建设用地区
66506,31,城镇建设用地区
66507,31,城镇建设用地区
66508,31,城镇建设用地区
66509,31,城镇建设用地区
66510,31,城镇建设用地区
66511,31,城镇建设用地区
66512,31,城镇建设用地区
66513,31,城镇建设用地区
66514,32,村镇建设用地区
66515,32,村镇建设用地区
66516,32,村镇建设用地区
66517,32,村镇建设用地区
66518,32,村镇建设用地区
66519,32,村镇建设用地区
66520,40,独立工矿区
66521,50,风景旅游用地区
66522,50,风景旅游用地区
66523,50,风景旅游用地区
66524,50,风景旅游用地区
66525,50,风景旅游用地区
66526,50,风景旅游用地区
66527,50,风景旅游用地区
66528,50,风景旅游用地区
66529,50,风景旅游用地区
66530,50,风景旅游用地区
66531,50,风景旅游用地区
66532,50,风景旅游用地区
66533,50,风景旅游用地区
66534,50,风景旅游用地区
66535,50,风景旅游用地区
66536,50,风景旅游用地区
66537,50,风景旅游用地区
66538,50,风景旅游用地区
66539,50,风景旅游用地区
66540,50,风景旅游用地区
66541,50,风景旅游用地区
66542,50,风景旅游用地区
66543,50,风景旅游用地区
66544,50,风景旅游用地区
66545,50,风景旅游用地区
66546,50,风景旅游用地区
66547,50,风景旅游用地区
66548,50,风景旅游用地区
66549,50,风景旅游用地区
66550,50,风景旅游用地区
66551,50,风景旅游用地区
66552,50,风景旅游用地区
66553,50,风景旅游用地区
66554,50,风景旅游用地区
66555,50,风景旅游用地区
66556,50,风景旅游用地区
66557,50,风景旅游用地区
66558,50,风景旅游用地区
66559,50,风景旅游用地区
66560,50,风景旅游用地区
66561,50,风景旅游用地区
66562,50,风景旅游用地区
66563,50,风景旅游用地区
66564,60,生态环境安全控制区
66565,70,自然与文化遗产保护区
66566,70,自然与文化遗产保护区
66567,70,自然与文化遗产保护区
66568,70,自然与文化遗产保护区
66569,70,自然与文化遗产保护区
66570,70,自然与文化遗产保护区
66571,70,自然与文化遗产保护区
66572,80,林业用地区
66573,80,林业用地区
66574,80,林业用地区
66575,80,林业用地区
66576,80,林业用地区
66577,80,林业用地区
66578,80,林业用地区
66579,80,林业用地区
66580,80,林业用地区
66581,80,林业用地区
66582,80,林业用地区
66583,80,林业用地区
66584,80,林业用地区
66585,80,林业用地区
66586,80,林业用地区
66587,80,林业用地区
66588,80,林业用地区
66589,80,林业用地区
66590,80,林业用地区
66591,80,林业用地区
66592,80,林业用地区
66593,80,林业用地区
66594,80,林业用地区
66595,80,林业用地区
66596,80,林业用地区
66597,80,林业用地区
66598,80,林业用地区
66599,80,林业用地区
66600,80,林业用地区
66601,80,林业用地区
66602,80,林业用地区
66603,80,林业用地区
66604,80,林业用地区
66605,80,林业用地区
66606,80,林业用地区
66607,80,林业用地区
66608,80,林业用地区
66609,80,林业用地区
66610,80,林业用地区
66611,80,林业用地区
66612,80,林业用地区
66613,80,林业用地区
66614,201,现状公路
66615,201,现状公路
66616,201,现状公路
66617,201,现状公路
66618,201,现状公路
66619,201,现状公路
66620,201,现状公路
66621,201,现状公路
66622,201,现状公路
66623,201,现状公路
66624,201,现状公路
66625,201,现状公路
66626,201,现状公路
66627,202,规划公路
66628,202,规划公路
66629,202,规划公路
66630,202,规划公路
66631,202,规划公路
66632,202,规划公路
66633,202,规划公路
66634,202,规划公路
66635,202,规划公路
66636,202,规划公路
66637,202,规划公路
66638,202,规划公路
66639,202,规划公路
66640,203,现状铁路
66641,203,现状铁路
66642,203,现状铁路
66643,204,规划铁路
66644,205,现状河流水系
66645,205,现状河流水系
66646,206,规划河流水系
66647,209,其他建设用地
66648,209,其他建设用地
66649,31,城镇建设用地区
66650,31,城镇建设用地区
66651,203,现状铁路
66652,203,现状铁路
66653,203,现状铁路
66654,203,现状铁路
66655,203,现状铁路
66656,203,现状铁路
66657,205,现状河流水系
66658,205,现状河流水系
66659,31,城镇建设用地区
66660,31,城镇建设用地区
66661,31,城镇建设用地区
66662,31,城镇建设用地区
66663,31,城镇建设用地区
66664,31,城镇建设用地区
66665,31,城镇建设用地区
66666,31,城镇建设用地区
66667,31,城镇建设用地区
66668,31,城镇建设用地区
66669,31,城镇建设用地区
66670,31,城镇建设用地区
66671,31,城镇建设用地区
66672,31,城镇建设用地区
66673,31,城镇建设用地区
66674,31,城镇建设用地区
66675,31,城镇建设用地区
66676,31,城镇建设用地区
66677,31,城镇建设用地区
66678,31,城镇建设用地区
66679,31,城镇建设用地区
66680,31,城镇建设用地区
66681,31,城镇建设用地区
66682,31,城镇建设用地区
66683,31,城镇建设用地区
66684,31,城镇建设用地区
66685,31,城镇建设用地区
66686,31,城镇建设用地区
66687,31,城镇建设用地区
66688,31,城镇建设用地区
66689,31,城镇建设用地区
66690,31,城镇建设用地区
66691,31,城镇建设用地区
66692,31,城镇建设用地区
66693,31,城镇建设用地区
66694,31,城镇建设用地区
66695,31,城镇建设用地区
