区县,名称,地址,驾车路线,乘车路线,垂钓品种及价格,特色美食,重点推荐,最低人均消费,最高人均消费,住宿情况,开放时间,安全保障,停车位,提示,联系电话,优惠信息,评价,备注
丰台,北京丰台绿色家园私人钓鱼俱乐部,北京市丰台区王佐镇王庄村,1：京石高速19A出口，南宫王佐出口，出来后直行20米左转500米即到。2：京周路京良桥长阳环岛左转上桥下桥后直行20米左转500米即到。驾车时间：六里桥出发上京石10分钟即可到达。,,"草鱼、鲫鱼、鲤鱼全都15元/斤，青鱼18元/斤。
垂钓类型：高钓（按斤计算），路亚50元/天，练杆50元/次（会员40）、800元/年不限次",自助烧烤、炖柴鸡鸭、清纯活鱼、自助烧烤,垂钓、路亚、练杆、菜地认养（50元/㎡）、采摘、自助烧烤、帐篷、吊床,50.00 ,50.00 ,,4月～11月,北京丰台绿色家园私人钓鱼俱乐部紧邻王佐镇中心区，周边一公里范围内各项服务齐全。,40,,18618178760 彭女士,,行车：★★★垂钓：★★★餐饮：★★综合：★★★,
昌平,北京金润龙科技技术有公司常兴庄渔场,北京市昌平区小汤山镇常兴庄村南,51路昌平大柳树环岛下车，52、59、643、984、985、537在马坊站下车，立汤路过北六环，马坊北桥向北红绿灯右转1500米即到。,,罗非鱼18元/斤，草鱼、鲤鱼、鲫鱼14元/斤,清蒸罗非鱼,烤鱼,50.00 ,60.00 ,32个标间,,,,在推出一系列特色菜的同时，还推出了自做熟食、火锅、烤串等餐饮方式,010-61781169,,,
昌平,北京市鸿羽水产养殖有限公司,北京市昌平区小汤山镇常兴庄269号,51路昌平大柳树环岛下车，52、59、537、643、984、985在马坊站下车，立汤路过北六环，至常后路即到。,,罗氏沼虾、罗非鱼、锦鲤,,,0.00 ,0.00 ,,,,,,010-61787720 13901389575,,,
昌平,北京老磨舟度假村,北京市昌平区崔村镇南庄村,从市区过来，走立汤路一直向北开，见崔村指示牌左转上昌金路，过第一个红绿灯，路北见一座黄色的房屋即是。,,鲫鱼12- 15元/斤、罗非鱼12-15元/斤、草鱼12- 15元/斤、鲤鱼12- 15元/斤,,,0.00 ,0.00 ,,,,,,13691055808,,,
昌平,北京红栌温泉山庄,北京市昌平区小汤山讲礼村西16号,"自北京三元桥，上京承高速，走六环路 (昌平方向), 在北苑小汤山出口左转见路标即到。",,"项目	价格
门  票	20元/人次
租竿	20元/竿(不限时)
练竿	30元/天/池
鱼饲料	5元/袋(或团)
鲤鱼	9元/斤
鲫鱼	12元/斤
草鱼	12元/斤
罗非鱼	19元/斤
青鱼	20元/斤
白须公	30元/斤
兰(白)鲨	40元/斤
金丝鲶	35元/斤",野味烧烤,生态美食餐厅和宴会厅，厅内绿色植物环绕，一年四季如春,80.00 ,80.00 ,一座三星级综合楼，一座准四星级客房楼，以及温泉VIP贵宾房,,,,北京市最大的室内垂钓宫，室内9个鱼池，室外7个鱼池，垂钓池内鲤鱼、草鱼、鲫鱼罗非鱼等共计15个品种,010-86220708  010-88452686,,,
昌平,北京御汤山农业生态有限公司,北京市昌平区小汤山镇后牛坊村北（金昌路与秦上路交汇）,"自北京三元桥，上京承高速，走六环路 (昌平方向), 小汤山后牛坊村北出口安四路直线",,"鱼饲料	5元/袋(或团)
鲤鱼	9元/斤
鲫鱼	12元/斤
草鱼	12元/斤
罗非鱼	19元/斤
青鱼	20元/斤
白须公	30元/斤
兰(白)鲨	40元/斤
金丝鲶	35元/斤",野味烧烤,生态美食餐厅和宴会厅，厅内绿色植物环绕，一年四季如春,150.00 ,0.00 ,一座三星级综合楼，一座准四星级客房楼，以及温泉VIP贵宾房,,,,,010-60701987、010-61717097　,,,
朝阳,蟹岛,北京市朝阳区蟹岛路1号,可从市内经机场辅路到和平农场或经机场高速到苇洵出口右行300米即到。,,鲤鱼16元/斤，鲫鱼20元/斤，草鱼、胖头鱼20元/斤，武昌鱼22元/斤，罗非鱼28元/斤，青鱼30元/斤，鲟鱼68元/斤，翘嘴红蚰40元/斤，河蟹80～256元/斤，室外垂钧100元/6小时，150元/天。,绿色农家菜,室内垂钓,50.00 ,0.00 ,普通客房在200～500元之间,"垂钓开放时间：全年开放,早9:00时～晚6:00时餐饮开放时间：提供早、中、晚餐",附近有金盏派出所和朝政汽车修理厂(电话：010-84333366)，均位于临近1千米 左右金盏乡金盏大街。,,水深请带小孩的游客注意安全,010-84324910 13693342495,,"行车：五颗星★★★★★
垂钓：五颗星★★★★★
餐饮：五颗星★★★★★
住宿：五颗星★★★★★
综合：五颗星★★★★★",
朝阳,朝阳区水产科技园,北京市朝阳区楼梓庄乡皮村路,从机场高速苇沟出口走东苇路转金榆路（楼梓庄路）。车程15分钟。,,鲤鱼16元/斤，鲫鱼20元/斤，草鱼、胖头鱼20元/斤，武昌鱼22元/斤，罗非鱼28元/斤，青鱼30元/斤，蓝鲨50元/斤,,,50.00 ,50.00 ,,全年开放。冬季：早8:00～晚5:30，春、夏、秋季：早7:00～晚6:00,附近有金盏派出所和朝政汽车修理厂（电话：010-84333366），均位于临近1.5千米左右金盏乡金盏大街。,,,010-84331130,,"行车：五颗星★★★★★
垂钓：五颗星★★★★★
餐饮：四颗星★★★★
综合：四颗星★★★★",
朝阳,小渔赵家饭庄,北京市朝阳区金盏乡沙窝村南50米,从朝阳北路、机场二高速转东苇路、从东苇路转焦沙路向东2公里即到,,,绿色农家菜,,0.00 ,0.00 ,,上午11:00～下午14:00，下午16:30～晚9:00,附近有金盏派出所和朝政汽车修理厂（电话：010-84333366），均位于临近1千米左右金盏乡金盏大街。,,,010-84318098  13811384770,,"行车：四颗星★★★★
餐饮：四颗星★★★★
综合：四颗星★★★★",
大兴,碧海田园垂钓园,北京市大兴区安定镇杜庄屯村,大兴区京开高速路（庞各庄出口），然后第二红绿灯（瓜乡桥）左转，沿庞安路向东至西芦村西路口（见西芦各庄欢迎您牌）向北500米，遇小桥向东路北侧即到。,,刀鱼30元/斤、淡水黄花30元/斤、罗非鱼15～20元/斤、青鱼15～20元/斤、鲫鱼15～20元/斤、鲤鱼12～15元/斤、草鱼15～20元/斤、鲢鱼15～20元/斤,全鱼宴，三绝特色：一绝炸淡水黄花鱼，二绝清蒸刀鱼，三绝糖醋鲤鱼；另外，农家豆腐、柴锅炖鸡、农家饭、时令野菜也可一尝。,,50.00 ,50.00 ,5间住房（大炕）,全年。,保安管理设巡逻岗、监控岗、车场岗，全方位365天24小时的安全保卫，严格的管理制度确保了全年本垂钓园无治安、刑事案件、火灾事故的发生。,,根据不同时节可采摘西瓜等水果,010-80217028、13651213179、13910159567,,"行车：★★★
垂钓：★★★★
餐饮：★★★★
住宿：★★★
综合：★★",
大兴,北京星月湖农业休闲观光园,北京市大兴区采育镇大黑垡村村北500米,"路线1：京沪高速采育出口左转150米，见北京星月湖农业休闲观光园指示牌
路线2：京福公路（104国道）：采育西口向东沿采育街道直行4.8公里，到丁字路口左转向北直行进大黑垡村见指示牌行使1500米即到。",,鲤鱼15元/斤、草鱼15元/斤、花鲢15元/斤、白鲢15元/斤、鲫鱼15元/斤，价格随着鱼体重略有浮动。,侉炖鱼、水煮鱼、红烧鱼、烤鱼或按自己口味需求加工。,天气好的时候，可以泛舟垂钓，野营烧烤。,50.00 ,100.00 ,标间、别墅,4月1日至11月15日,有专业的服务人员巡湖，备有专用的船只安全巡视，并在不安全区域设立了警示牌。为了保证您的旅游快乐，为了保证你的安全，请你一定遵守园区的安全管理制度，禁止使用明火等不安全活动，如有发生立即拨打119火警或园区安全部电话80276172手机18610228462。,,园区内小别墅可供10人左右住宿，还可以采摘各类蔬菜及水果。可提供有机农家饭，养生知识讲座，中医保健美容，健身，茶座，棋牌，图书，晚间篝火，露天KTV等休闲项目。,010-80276173、80270880,,"行车：★★★
垂钓：★★★
餐饮：★★★★
住宿：★★★★
综合：★★★",
大兴,玛莱特红酒庄园休闲垂钓场,北京市大兴区采育镇葡萄观光园1号,"路线1：京沪高速：采育高速口右转，直行900米红绿灯路口右转向北直行1400米即是。
路线2：京津高速：于家务高速口出来右转，沿张采路向南直行8.5公里到采林路口右转，沿采林路向西直行3.4公里，到红绿灯路口右转向北直行1.4公里即是。
路线3：京福公路（104国道）：采育西口",,鲢鱼10元/斤、鳙鱼10元/斤、鲫鱼15元/斤、鲤鱼15元/斤、草鱼20元/斤、燕鲤28元/斤、鲈鳟28元/斤、青鱼30元/斤、猫鱼38元/斤、鲟鱼48元/斤。,红酒烤鸽子、时尚中国菜、特色烧烤,,50.00 ,100.00 ,标间、商务间及豪华套间,常规垂钓4月至11月；冰上垂钓12月至1月,玛莱特垂钓场位于公司院内，四周围墙封闭，私密性好，安全有保障，钓场服务人员随叫随到。公司与当地派出所、消防中队、卫生院联系密切，距离均在5分钟车程范围内。公司大门外300米处设有车辆维修专业店，如有需要，在垂钓休闲之时，游客的爱车也可在此得到呵护。,,钓上来的鱼儿可以由酒庄餐厅加工，也可客人自己动手烧烤，或者带回作为礼物送给亲朋好友品尝。,010-80276999    010-80276611,免费参观酒窖,"行车：★★★
垂钓：★★★★
餐饮：★★★★
住宿：★★★★
综合：★★★",
大兴,北京园林牧歌山庄,北京市大兴区礼贤镇东黄垡村,京开高速出京方向15出口出，调头向北走辅路1公里即到。,,鲤鱼15元/斤、草鱼15元/斤、花鲢15元/斤、白鲢15元/斤、鲫鱼15元/斤，价格随季节略有浮动,全鹿宴、农家饭、时令野菜,：园区可露营、烧烤、采摘,50.00 ,100.00 ,标间、小别墅,3月至11月,安保负责人联系电话13071159999,,,010-89290600  13391587778,,"行车：★★★
垂钓：★★★
餐饮：★★★★
住宿：★★★
综合：★★",
大兴,北京清逸园餐饮垂钓中心,北京市大兴区庞各庄镇西中堡村,京开高速魏永路出口前行2公里，西中堡村右转直行500米,,鲫鱼16元/斤、鲤鱼16元/斤、草鱼16元/斤、青鱼22元/斤,贴饼子、一锅鲜、各种鱼类等健康特色农家美食,,50.00 ,50.00 ,,4月1日至11月1日,汽车救援电话：89289473；派出所电话：89287110,,免费提供各种钓具鱼杆、太阳伞、鱼食、休息室；5至10月增加罗非鱼、白鲳、蓝鲨（价位按时令价而定）、可在采摘园采摘各种蔬菜、水果。,010-89287860 13161555846,凭此页九折优惠,"行车：★★★
垂钓：★★★★
餐饮：★★★
住宿：★★★
综合：★★★",
大兴,天兆宝峰垂钓园,北京市大兴区青云店镇东赵村,玉泉营上京开高速到大兴桥（大兴环岛）东8公里，东赵村村南1000米即到。,,草鱼14元/斤、黄金鲫14元/斤、武昌鱼14元/斤、鲭鱼18元/斤、罗非鱼20元/斤、球溪鱼35元/斤、丁桂鱼40元/斤、水库大胖头28元/斤、鲟鱼48元/斤、鲈鱼48元/斤,全鱼宴、野味、农家饭,全鱼宴,50.00 ,200.00 ,,全年,有保安巡逻，加强安全防范。,,免费提供垂钓渔具,010-81288285、13810116690、13311300098（王亮）,持本书消费，全鱼宴可享8.5折。,"行车：★★★
垂钓：★★★★
餐饮：★★★★
住宿：★★★
综合：★★",
大兴,北京绿源之洲庄园,北京市大兴区青云店镇曹村向东1000米,南六环，南大红门向南2公里，曹村路口左转直行1000米即到。,,草鱼12元／斤；鲤鱼、鲫鱼、武昌鱼15元／斤；罗非鱼20元／斤；胖头28元／斤；鲟鱼48元／斤；丁桂鱼40元／斤；鲈鱼45元／斤。,各种野味，农家垮炖鱼，农家柴公鸡,,50.00 ,150.00 ,高中低档房间，设施齐全,垂钓园区每年的3月～11月，餐饮部、客房部、茶艺园全年开放。,安保负责人电话13681410011,,庄园内有自产的无公害、无污染的纯绿色罗非鱼、柴公鸡、柴鸡蛋、五谷杂粮礼品箱销售，也可根据您的需求量身定制礼品组合。,餐饮部010-81289090、81289191、13611130530；客房部010-80236021,消费满500元返50元券。,"行车：★★★
垂钓：★★★★
餐饮：★★★★
住宿：★★★★
综合：★★★",
房山,园田垂钓园,北京市房山区青龙湖镇南观村,走京港澳高速至大件路出口向大件路燕山方向，行至羊头岗西口右转走到头，从T字路口左转过铁道桥洞右手边即可,,虹鳟30元/斤、鮰鱼30元/斤、青鱼20元/斤、鲟鱼48元/斤、草鱼18元/斤、青鱼20元/斤、鲤鱼12元/斤,房山特色农家菜、烤鱼、烤羊腿,登山,50.00 ,50.00 ,8间,　　　4月28日-10月28日,青龙湖镇派出所：010-80379283，加油和汽车维修：青龙镇南观村口有一处加油站。附近有汽车修理处。,,　　早晚温差较大，请注意防寒,010-60385631 13716721631,,"　　　综合：★★★
　　　行车：★★★
　　　垂钓：★★★★
　　　餐饮：★★★
住宿：★★★",
房山,燕龙垂钓园,北京市房山区青龙湖镇南观村,走京港澳高速至大件路出口向大件路燕山方向，行至羊头岗西口右转走到头，行丁字路口左转50米上坡后即到。,,武昌鱼20元/斤、草鱼18元/斤、青鱼18元/斤、鲫鱼15元/斤,农家莱、山野莱、粗粮、烤鱼,夏季凉爽，环境优美，山水环绕,60.00 ,60.00 ,,每年清明节后至十月下旬（4月28日-10月28日）,　　　青龙湖镇派出所：010-80379283，加油和汽车维修：青龙镇南观村口有一处加油站。附近有汽车修理处。,,　　　 春秋温差大，早晚凉、风大，注意防寒保暖,010-80375978 、13381163410,,"　　　综合：★★★
　　　行车：★★★
　　　垂钓：★★★★
　　　餐饮：★★★
　　　住宿：★★★",
房山,青草香垂钓园,北京市房山区青龙湖镇南观村,走京港澳高速至大件路出口向大件路燕山方向，行至羊头岗西口右转走到头，从丁字路口左转200米右手边第一家即是。,,　　　鲟鱼35-40元/斤、虹鳟25-50元/斤、草鱼15-18元/斤、鲤鱼10- 15元/斤,　　　烤全羊、烤羊腿、烤鱼、烧鸽子,　　　台球、乒乓球、棋牌室、卡拉OK,50.00 ,50.00 ,　　　有农家客房标间17间， 环境幽雅，服务周到,每年清明节后至十月下旬（4月28日-10月28日）,青龙湖镇派出所：010-80379283，加油和汽车维修：青龙镇南观村口有一处加油站。附近有汽车修理处。,,　　　早晚温差大，注意防寒保暖,　　　010-80371082、18910885316,,"　　　综合：★★★
　　　行车：★★★
　　　垂钓：★★★★
　　　餐饮：★★★
住宿：★★★",
房山,一亭一筑,北京市房山区青龙湖镇南观村,走京港澳高速至大件路出口向大件路燕山方向，行至羊头岗西口右转走到头，从丁字路口左转1000米左右即到。,,　　　鲟鱼38元/斤、虹鳟30元/斤、草鱼16元/斤、青鱼18元/斤,　　　江南农家菜,篝火晚会、婚纱摄影、咖啡厅、酒吧,50.00 ,80.00 ,　　　客房15间，环境幽雅，干净整洁,　　　全年营业,　　　青龙湖镇派出所：010-80379283，加油和汽车维修：青龙镇南观村口有一处加油站。附近有汽车修理处。,,常年营业,13001129175,,"　　　综合：★★★★
　　　行车：★★★★
　　　垂钓：★★★★
　　　餐饮：★★★★
　　　住宿：★★★★",
房山,双新垂钓园,北京市房山区青龙湖镇南观村,走京港澳高速至大件路出口向大件路燕山方向，行至羊头岗西口右转走到头，从丁字路口左转200米左右即到,,　　　鲟鱼40元/斤、虹鳟30元/斤、鮰鱼30元/斤、草鱼18元/斤、青鱼20元/斤、鲤鱼15元/斤,　　　铁板鱼条、上汤鱼片、鲍汁鱼块,　　　爬山观景,40.00 ,50.00 ,,每年清明节后至十月下旬（4月28日-10月28日）,　　　青龙湖镇派出所：010-80379283，加油和汽车维修：青龙镇南观村口有一处加油站。附近有汽车修理处。,,　　　山区早晚温差较大，请游客多带点衣服,010-60385758,,"　　　综合：★★★
　　　行车：★★★
　　　垂钓：★★★★
　　　餐饮：★★★
住宿：★★★",
房山,绿茵垂钓园,北京市房山区青龙湖镇南观村,走京港澳高速至大件路出口向燕山方向，行至羊头岗西口右转走到头，从丁字路口左转第四家即是。,,武昌鱼20元/斤、鲟鱼48元/斤、虹鳟30元/斤、鮰鱼30元/斤、草鱼18元/斤、青鱼15元/斤、鲤鱼12元/斤、鲫鱼15元/斤、淡水白鲳鱼20元/斤,　　　干锅带皮煮牛肉、香锅鱼、炖土鸡,,50.00 ,100.00 ,50人客房,每年清明节后至十月下旬（4月28日-10月28日）,青龙湖镇派出所：010-80379283，加油和汽车维修：青龙镇南观村口有一处加油站。附近有汽车修理处。,,　　　早晚温差较大，请游客多带点衣服,　　　010-60385146、 15010070034,,"　　　综合：★★★
　　　行车：★★★
　　　垂钓：★★★★
　　　餐饮：★★★
　　　住宿：★★★",
房山,飞达垂钓园,北京市房山区青龙湖镇南观村健身广场附近,走京港澳高速至大件路出口向燕山方向，行至八十亩地路口右转，一直走柏油路3~4公里即到。,,鲟鱼40元/斤、虹鳟30元/斤、鮰鱼30元/斤、草鱼18元/斤、青鱼20元/斤、鲤鱼12元/斤,　　　 烤虹鳟,,50.00 ,80.00 ,　　　10间标间,每年清明节后至十月下旬（4月28日-10月28日）,青龙湖镇派出所：010-80379283，加油和汽车维修：青龙镇南观村口有一处加油站。附近有汽车修理处。,,　　　早晚温差比价大，请游客多带点衣服,　　　010-60385629、15011231543,,"　　　综合：★★★
　　　行车：★★★
　　　垂钓：★★★★
　　　餐饮：★★★
住宿：★★★",
